                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7484,                 3.9331,                  1.627,                0.00298,                 0.7291,                0.08237,                0.04622,                 1.4814,                   3.37,                 1.4346,                 0.0964,                 0.0004,                 0.0004
                      2,                 1.7351,                 3.9474,                 1.6458,                0.00288,                0.71846,                 0.0915,                0.05205,                 1.4509,                 3.3519,                 1.4069,                0.09187,              0.0008703,              0.0008703
                      3,                 1.6289,                 3.8418,                  1.581,                0.00301,                0.75453,                0.11387,                0.06464,                  1.397,                 3.2046,                 1.3484,               0.087308,              0.0013076,              0.0013076
                      4,                  1.549,                 3.6811,                 1.4836,                0.00312,                 0.7963,                0.15564,                0.08678,                 1.3748,                  3.155,                 1.2873,               0.082712,              0.0017119,              0.0017119
                      5,                 1.5047,                  3.494,                  1.396,                0.00319,                0.81644,                0.16713,                0.08905,                 1.4326,                 3.1259,                 1.2859,               0.078083,              0.0020832,              0.0020832
                      6,                 1.4682,                 3.3138,                 1.3887,                0.00311,                0.79828,                0.11349,                0.05224,                 1.6311,                 3.1522,                 1.3806,               0.073422,              0.0024215,              0.0024215
                      7,                 1.5042,                 3.2046,                  1.373,                 0.0032,                0.81868,                0.21313,                0.10815,                 1.4965,                 3.0328,                 1.2789,               0.068727,              0.0027268,              0.0027268
                      8,                 1.4275,                 2.8675,                 1.3372,                0.00334,                0.83667,                0.25802,                0.12404,                  1.554,                  3.014,                 1.3128,               0.063999,              0.0029991,              0.0029991
                      9,                 1.4153,                 2.6116,                 1.3017,                0.00335,                 0.8604,                0.26311,                0.12314,                  1.495,                 2.9133,                 1.2951,               0.059238,              0.0032384,              0.0032384
                     10,                 1.4062,                 2.4803,                 1.3266,                0.00324,                0.83446,                0.23278,                0.09885,                 1.6677,                 3.0243,                 1.4037,               0.054445,              0.0034447,              0.0034447
                     11,                 1.4535,                  2.415,                 1.3453,                0.00328,                0.84002,                0.31401,                 0.1514,                 1.5073,                 2.9897,                 1.3581,               0.049618,               0.003618,               0.003618
                     12,                 1.3919,                 2.2848,                 1.2854,                0.84121,                0.08182,                0.36703,                0.18285,                 1.4899,                 2.8857,                 1.3625,               0.044758,              0.0037583,              0.0037583
                     13,                 1.3841,                 2.2427,                 1.2867,                0.20074,                  0.623,                0.34212,                0.16203,                  1.593,                 3.0967,                 1.5049,               0.039866,              0.0038656,              0.0038656
                     14,                 1.4085,                  2.178,                  1.293,                0.00339,                0.80144,                0.23786,                0.11615,                 1.6553,                 3.3275,                 1.6938,                0.03494,              0.0039399,              0.0039399
                     15,                  1.404,                  2.121,                 1.2646,                0.82538,                0.04753,                0.31059,                0.13854,                 1.7518,                 3.1416,                 1.7017,               0.029981,              0.0039812,              0.0039812
                     16,                 1.4007,                 2.0689,                  1.294,                0.64087,                 0.0875,                0.30321,                0.13487,                 1.7166,                  3.015,                 1.6014,               0.024989,              0.0039895,              0.0039895
                     17,                 1.3613,                 1.9613,                 1.2645,                0.62852,                 0.1972,                0.36202,                0.16752,                 1.6942,                 2.7471,                 1.5056,               0.019965,              0.0039648,              0.0039648
                     18,                  1.328,                 1.9531,                 1.2252,                0.69992,                0.21201,                0.40415,                0.19924,                 1.5743,                 2.6339,                 1.3843,               0.014907,              0.0039071,              0.0039071
                     19,                 1.3252,                 1.8773,                 1.2621,                0.59403,                0.29308,                0.39964,                0.20079,                 1.5911,                 2.5117,                 1.4141,              0.0098164,              0.0038164,              0.0038164
                     20,                  1.343,                 1.8356,                 1.2606,                0.52255,                0.38286,                0.40817,                0.20368,                 1.6368,                 2.4766,                 1.4661,              0.0046927,              0.0036927,              0.0036927
                     21,                 1.3235,                 2.1549,                 1.2667,                0.62396,                0.22102,                0.31618,                0.16598,                 1.5925,                 2.8214,                 1.5753,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.2718,                 2.1249,                 1.2417,                0.59523,                0.26479,                0.32202,                0.16781,                  1.574,                 2.7425,                 1.5597,                0.00307,                0.00307,                0.00307
                     23,                 1.2733,                 1.9933,                 1.2303,                0.52783,                0.31941,                0.32267,                0.17195,                 1.6198,                 2.7428,                 1.6208,                0.00274,                0.00274,                0.00274
                     24,                 1.2843,                 1.9354,                 1.2179,                0.54027,                0.35588,                0.37163,                 0.1967,                 1.6616,                 2.6318,                 1.6224,                0.00241,                0.00241,                0.00241
                     25,                 1.2616,                 1.8772,                 1.2211,                0.51613,                0.33789,                0.33668,                0.17185,                 1.6727,                 2.7428,                 1.6553,                0.00208,                0.00208,                0.00208
                     26,                 1.2305,                 1.7816,                 1.1933,                0.50345,                0.40577,                0.37171,                0.19849,                 1.6511,                 2.5831,                 1.5961,                0.00175,                0.00175,                0.00175
                     27,                 1.2438,                 1.7085,                 1.2122,                0.55973,                0.49633,                0.48232,                 0.2683,                 1.5567,                 2.2536,                 1.4604,                0.00142,                0.00142,                0.00142
                     28,                  1.127,                 1.6197,                 1.1315,                0.59515,                0.49345,                0.50079,                0.27798,                 1.5616,                 2.1791,                   1.46,                0.00109,                0.00109,                0.00109
                     29,                 1.1473,                 1.6173,                 1.1403,                0.59546,                0.49063,                0.49373,                0.27322,                 1.5733,                 2.2517,                  1.462,                0.00076,                0.00076,                0.00076
                     30,                 1.1785,                 1.6239,                 1.1482,                0.65915,                0.56329,                0.61206,                0.34925,                 1.4926,                 1.8154,                 1.3569,                0.00043,                0.00043,                0.00043
