                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8062,                 4.0366,                 1.6771,                  0.003,                0.77298,                0.07716,                0.03955,                 1.4494,                 3.3582,                 1.4267,                 0.0901,                 0.0011,                 0.0011
                      2,                 1.6799,                 3.8812,                 1.5519,                 0.0031,                0.79556,                0.10528,                0.05175,                 1.4063,                 3.1493,                 1.3035,               0.079224,              0.0022241,              0.0022241
                      3,                 1.5622,                 3.5712,                 1.4317,                0.00308,                0.78461,                0.16267,                0.07459,                 1.5023,                 3.1551,                 1.3529,               0.068269,               0.003269,               0.003269
                      4,                 1.5506,                  3.047,                 1.3603,                0.55107,                0.13201,                0.20213,                0.09047,                 1.5196,                 3.0329,                 1.3547,               0.057235,              0.0042347,              0.0042347
                      5,                 1.5549,                 2.6993,                 1.3378,                0.00329,                0.82371,                  0.223,                0.09737,                 1.6102,                 3.0611,                 1.4137,               0.046121,              0.0051212,              0.0051212
                      6,                 1.5194,                 2.5582,                  1.322,                 0.5436,                0.03216,                0.14822,                0.05559,                 1.8802,                  3.198,                 1.6216,               0.034929,              0.0059285,              0.0059285
                      7,                 1.5238,                 2.3246,                 1.3441,                0.50314,                0.18863,                0.29497,                0.15053,                 1.7176,                 2.8418,                 1.5725,               0.023657,              0.0066566,              0.0066566
                      8,                 1.5745,                  2.226,                 1.3822,                0.32514,                0.13207,                0.17084,                0.07723,                 1.9395,                 3.0734,                  1.804,               0.012305,              0.0073055,              0.0073055
                      9,                 1.5581,                 2.1905,                 1.3968,                0.40823,                0.16015,                0.14836,                0.06379,                  1.994,                 3.4949,                  2.171,                0.00736,                0.00736,                0.00736
                     10,                 1.5831,                 2.1175,                 1.4268,                0.32963,                 0.2277,                0.14046,                0.05859,                 2.1319,                 3.4144,                 2.2492,                0.00703,                0.00703,                0.00703
                     11,                 1.5975,                 2.0774,                 1.4487,                 0.2482,                0.29572,                0.14994,                0.07252,                 2.0865,                 5.5323,                 2.2596,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.5821,                 1.9717,                 1.4178,                0.09344,                 0.3152,                0.07088,                 0.0305,                 1.9224,                 7.9985,                 2.0155,                0.00637,                0.00637,                0.00637
                     13,                 1.4928,                 1.8756,                 1.3749,                0.33766,                0.28552,                0.18371,                0.08385,                 2.0354,                 6.1608,                 2.1136,                0.00604,                0.00604,                0.00604
                     14,                 1.5185,                 1.8139,                 1.3785,                0.48723,                0.34175,                0.30778,                0.13835,                 1.8006,                 5.8174,                 1.8633,                0.00571,                0.00571,                0.00571
                     15,                 1.4645,                 1.7281,                 1.3529,                0.43771,                0.40593,                 0.3481,                0.18092,                 1.8005,                 3.8344,                 1.8584,                0.00538,                0.00538,                0.00538
                     16,                 1.4595,                 1.6755,                 1.3519,                 0.3904,                0.37662,                0.26334,                0.12757,                 1.9451,                 3.1917,                 1.9593,                0.00505,                0.00505,                0.00505
                     17,                 1.4513,                 1.6367,                 1.3388,                0.60284,                0.48959,                0.49288,                 0.2588,                 1.6662,                 2.1681,                  1.566,                0.00472,                0.00472,                0.00472
                     18,                 1.4058,                 1.5672,                 1.3141,                0.67008,                0.54093,                0.56948,                0.30456,                 1.5684,                 1.8649,                  1.502,                0.00439,                0.00439,                0.00439
                     19,                 1.3372,                 1.4409,                 1.2734,                0.69634,                0.51865,                0.55446,                0.30582,                 1.5843,                 1.7413,                 1.4948,                0.00406,                0.00406,                0.00406
                     20,                 1.3529,                  1.397,                 1.2586,                0.73279,                0.56857,                0.62977,                0.35103,                 1.5425,                 1.7132,                 1.4542,                0.00373,                0.00373,                0.00373
                     21,                 1.3948,                 1.5944,                 1.3272,                0.44692,                0.35558,                0.30619,                 0.1609,                 1.8008,                 2.8245,                 1.7838,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.3781,                 1.5461,                 1.2963,                0.69639,                0.56312,                0.61589,                0.35182,                 1.5402,                 1.6607,                 1.4205,                0.00307,                0.00307,                0.00307
                     23,                 1.3341,                 1.4728,                 1.2849,                0.68671,                0.57849,                 0.6065,                0.33924,                 1.5227,                 1.5652,                  1.407,                0.00274,                0.00274,                0.00274
                     24,                 1.3334,                 1.3825,                 1.2769,                0.72414,                0.54242,                0.60352,                0.34675,                 1.4934,                 1.5881,                 1.3601,                0.00241,                0.00241,                0.00241
                     25,                 1.3232,                 1.3494,                 1.2444,                0.69205,                0.59546,                0.61891,                 0.3519,                 1.5038,                 1.5113,                 1.3741,                0.00208,                0.00208,                0.00208
                     26,                 1.2919,                  1.308,                 1.2371,                0.73056,                0.59659,                0.65849,                0.38236,                 1.4955,                 1.5275,                 1.3806,                0.00175,                0.00175,                0.00175
                     27,                 1.2427,                 1.2357,                 1.2293,                0.76295,                0.65072,                0.71713,                0.42136,                 1.4554,                 1.3705,                 1.3447,                0.00142,                0.00142,                0.00142
                     28,                 1.2585,                 1.2221,                 1.2326,                0.78193,                0.66234,                0.72521,                0.43456,                 1.4419,                 1.2772,                 1.3371,                0.00109,                0.00109,                0.00109
                     29,                    1.2,                 1.1402,                 1.1888,                0.78067,                0.67519,                0.73249,                0.44267,                 1.4048,                 1.2617,                 1.3027,                0.00076,                0.00076,                0.00076
                     30,                 1.1775,                 1.0864,                 1.1736,                0.81759,                0.67913,                0.75397,                0.44926,                 1.4151,                 1.1966,                 1.3069,                0.00043,                0.00043,                0.00043
