                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6933,                  3.916,                 1.6097,                0.00288,                0.71119,                0.03606,                0.02101,                 1.4031,                 3.3327,                 1.3882,                 0.0874,                 0.0014,                 0.0014
                      2,                 1.5129,                 3.6101,                 1.4954,                0.00313,                0.77357,                0.22551,                0.12256,                 1.4182,                 3.1702,                 1.3693,               0.073804,              0.0028043,              0.0028043
                      3,                  1.436,                 2.8323,                 1.3613,                0.69596,                0.04613,                0.25995,                0.12846,                 1.4801,                 3.0448,                 1.3681,                0.06011,              0.0041096,              0.0041096
                      4,                 1.4956,                 2.3865,                 1.3786,                0.78836,                0.10666,                0.30388,                0.16132,                 1.5044,                  2.908,                  1.394,               0.046316,              0.0053159,              0.0053159
                      5,                 1.4348,                 2.1695,                  1.349,                 0.7531,                0.13675,                0.21659,                0.09643,                 1.9138,                 2.9732,                 1.6522,               0.032423,              0.0064232,              0.0064232
                      6,                 1.4885,                  2.087,                 1.3876,                0.38174,                0.17566,                 0.0958,                0.04855,                 1.9442,                 4.6699,                 2.0683,               0.018431,              0.0074315,              0.0074315
                      7,                 1.5543,                 2.0344,                 1.4342,                0.31946,                0.15533,                0.06868,                0.02748,                 2.3052,                 5.0411,                 2.4697,                0.00802,                0.00802,                0.00802
                      8,                 1.5922,                 2.1452,                 1.4878,                0.26094,                0.30022,                0.16045,                0.06189,                 2.3519,                 5.6245,                 2.4154,                0.00769,                0.00769,                0.00769
                      9,                 1.6362,                 2.0629,                 1.4822,                0.28281,                0.31659,                0.12357,                0.05689,                 2.1391,                 8.1312,                 2.4374,                0.00736,                0.00736,                0.00736
                     10,                 1.5677,                 1.8833,                 1.4482,                0.23123,                0.41399,                0.19884,                0.09463,                 1.9333,                 5.3351,                 1.9689,                0.00703,                0.00703,                0.00703
                     11,                 1.5254,                 1.7813,                 1.4579,                 0.3643,                0.33261,                0.23874,                0.10245,                 2.1122,                 4.7323,                  2.117,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.5568,                 1.7292,                 1.4312,                0.36941,                0.25837,                0.22626,                 0.1064,                 1.9133,                 5.5196,                  1.791,                0.00637,                0.00637,                0.00637
                     13,                 1.4757,                 1.6531,                 1.3918,                0.37598,                 0.3233,                0.29044,                0.13645,                 1.9099,                 2.8506,                 1.8854,                0.00604,                0.00604,                0.00604
                     14,                 1.4393,                 1.5538,                 1.3771,                0.62951,                0.16532,                 0.1246,                 0.0534,                 2.1242,                  13.02,                 2.1447,                0.00571,                0.00571,                0.00571
                     15,                 1.4437,                 1.5361,                 1.3751,                0.56453,                0.36904,                0.39109,                0.18821,                 1.8453,                 5.1364,                 1.8285,                0.00538,                0.00538,                0.00538
                     16,                 1.4198,                 1.4739,                  1.342,                0.63338,                0.46735,                0.50243,                0.23901,                 1.8188,                 2.3374,                 1.7386,                0.00505,                0.00505,                0.00505
                     17,                 1.3541,                 1.4326,                 1.3049,                0.52858,                0.37354,                0.40238,                0.21762,                 1.7908,                 3.1073,                 1.8218,                0.00472,                0.00472,                0.00472
                     18,                 1.3502,                 1.3399,                 1.3114,                0.47814,                0.37868,                0.35011,                0.18036,                 1.8439,                 2.8432,                 1.8168,                0.00439,                0.00439,                0.00439
                     19,                 1.3377,                 1.3423,                 1.2892,                0.61136,                0.42155,                0.47729,                0.26628,                 1.6591,                 2.2464,                 1.5749,                0.00406,                0.00406,                0.00406
                     20,                 1.3035,                 1.2922,                 1.2861,                0.68566,                0.48616,                0.53947,                0.30937,                 1.6426,                 1.8763,                  1.524,                0.00373,                0.00373,                0.00373
                     21,                 1.3631,                 1.4353,                 1.3087,                0.68672,                0.51317,                0.57648,                0.32364,                 1.6258,                 1.7676,                 1.5022,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.3463,                 1.3372,                 1.2941,                0.63853,                0.55209,                0.58179,                0.32242,                 1.6158,                 1.7068,                 1.4865,                0.00307,                0.00307,                0.00307
                     23,                 1.2741,                 1.2432,                 1.2815,                0.75993,                0.57526,                 0.6478,                0.36265,                 1.6203,                 1.5256,                 1.4559,                0.00274,                0.00274,                0.00274
                     24,                 1.3191,                 1.2693,                 1.2523,                0.75761,                0.58556,                0.66069,                0.39073,                 1.4989,                 1.4153,                  1.389,                0.00241,                0.00241,                0.00241
                     25,                 1.2546,                 1.1804,                 1.2449,                0.75296,                0.62122,                0.67492,                0.39761,                 1.4804,                 1.3511,                 1.3599,                0.00208,                0.00208,                0.00208
                     26,                 1.2586,                 1.1551,                 1.2367,                0.66414,                0.55584,                 0.5874,                0.34782,                 1.4587,                  1.619,                 1.3627,                0.00175,                0.00175,                0.00175
                     27,                 1.1979,                 1.1203,                 1.2028,                0.77475,                0.60516,                0.67831,                0.40236,                 1.4565,                 1.3413,                 1.3523,                0.00142,                0.00142,                0.00142
                     28,                 1.1298,                 1.0364,                 1.1789,                0.80907,                0.64231,                0.71891,                0.43449,                 1.4314,                 1.2562,                 1.3171,                0.00109,                0.00109,                0.00109
                     29,                 1.1612,                 1.0419,                 1.2041,                0.81572,                0.67696,                0.75049,                0.44852,                  1.439,                 1.1918,                 1.3337,                0.00076,                0.00076,                0.00076
                     30,                 1.0984,                0.94596,                 1.1527,                0.82961,                 0.6828,                0.76356,                0.46818,                 1.3933,                  1.152,                 1.3102,                0.00043,                0.00043,                0.00043
