                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.707,                 3.8883,                 1.6263,                0.00302,                0.75921,                 0.1034,                0.05501,                 1.4066,                 3.2031,                 1.3643,                 0.0874,                 0.0014,                 0.0014
                      2,                 1.6091,                 3.7079,                   1.52,                 0.0029,                0.70741,                0.13479,                0.06808,                 1.5806,                 3.2946,                 1.5298,               0.073804,              0.0028043,              0.0028043
                      3,                 1.5265,                 3.1374,                 1.3955,                 0.7755,                0.14303,                0.17476,                0.09662,                 1.4675,                 3.2153,                 1.3923,                0.06011,              0.0041096,              0.0041096
                      4,                 1.5637,                 2.6562,                 1.3901,                0.70771,                0.09153,                0.25255,                 0.1257,                 1.6165,                  2.995,                 1.4344,               0.046316,              0.0053159,              0.0053159
                      5,                 1.5603,                 2.5178,                 1.4034,                0.38367,                0.07772,                0.14007,                0.05712,                 1.8945,                  3.088,                 1.6849,               0.032423,              0.0064232,              0.0064232
                      6,                 1.6406,                  2.438,                 1.4724,                0.26772,                0.06402,                0.04332,                0.01444,                 2.1824,                 3.3597,                 1.9006,               0.018431,              0.0074315,              0.0074315
                      7,                 1.6519,                  2.351,                 1.4771,                0.52543,                0.02087,                0.00803,                0.00266,                 2.4296,                 7.4906,                  2.633,                0.00802,                0.00802,                0.00802
                      8,                 1.6552,                 2.2281,                   1.49,                0.13804,                0.16558,                0.07656,                0.02545,                 2.4318,                 6.9673,                 2.8426,                0.00769,                0.00769,                0.00769
                      9,                 1.6941,                 2.1951,                 1.5051,                 0.0732,                0.16324,                0.02102,                0.00809,                 2.3979,                 6.0339,                  2.492,                0.00736,                0.00736,                0.00736
                     10,                 1.6678,                 2.0817,                 1.4909,                0.17506,                0.25929,                0.10086,                0.03725,                 2.5116,                 3.5718,                  2.738,                0.00703,                0.00703,                0.00703
                     11,                 1.6215,                 2.0221,                  1.482,                 0.5151,                0.01892,                0.00729,                0.00367,                 2.6853,                 6.8514,                 3.0655,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.5745,                 1.8144,                 1.4449,                0.52087,                0.01782,                0.00961,                0.00347,                  2.426,                 8.3216,                 2.6995,                0.00637,                0.00637,                0.00637
                     13,                 1.6357,                 1.8726,                 1.4946,                 0.2274,                0.29743,                0.15955,                0.07224,                 2.0172,                 5.4081,                 2.0234,                0.00604,                0.00604,                0.00604
                     14,                 1.5139,                 1.7471,                 1.4151,                 0.4174,                0.32195,                0.29494,                0.13922,                 1.9162,                 2.9753,                  1.805,                0.00571,                0.00571,                0.00571
                     15,                 1.4757,                 1.5609,                 1.3822,                0.36861,                0.33725,                0.24745,                 0.1261,                 1.9174,                 3.0602,                 1.8375,                0.00538,                0.00538,                0.00538
                     16,                 1.4625,                 1.5313,                 1.3788,                0.46634,                0.42046,                0.36945,                0.18281,                 1.8119,                 2.5846,                 1.6752,                0.00505,                0.00505,                0.00505
                     17,                 1.4393,                 1.4546,                 1.3548,                0.61551,                0.51199,                0.52106,                0.27624,                 1.6748,                 2.0271,                 1.5567,                0.00472,                0.00472,                0.00472
                     18,                 1.4065,                 1.4314,                  1.311,                0.66689,                0.49394,                0.51554,                0.27711,                 1.6344,                 1.9441,                 1.5141,                0.00439,                0.00439,                0.00439
                     19,                 1.3913,                 1.3839,                 1.3173,                0.56733,                0.45793,                0.44021,                0.22383,                 1.6285,                 1.9936,                 1.5764,                0.00406,                0.00406,                0.00406
                     20,                 1.3129,                 1.2748,                 1.2772,                0.71474,                0.57964,                0.63676,                 0.3398,                 1.6417,                 1.5093,                 1.5369,                0.00373,                0.00373,                0.00373
                     21,                 1.4138,                 1.5076,                 1.3404,                0.71271,                0.57578,                0.62418,                0.34772,                 1.5809,                 1.6044,                 1.4565,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.4013,                 1.4985,                 1.3453,                0.70113,                0.61173,                0.65264,                0.37086,                 1.5524,                  1.522,                 1.4644,                0.00307,                0.00307,                0.00307
                     23,                 1.3778,                 1.3352,                  1.302,                0.70493,                0.57907,                0.64385,                0.37686,                 1.5101,                 1.5747,                 1.3876,                0.00274,                0.00274,                0.00274
                     24,                  1.384,                 1.3601,                 1.3195,                0.73894,                 0.6025,                0.66129,                0.37684,                 1.5003,                 1.4891,                 1.3829,                0.00241,                0.00241,                0.00241
                     25,                 1.3665,                 1.2468,                 1.2724,                   0.79,                0.63974,                0.71348,                0.40779,                 1.5101,                 1.3511,                  1.391,                0.00208,                0.00208,                0.00208
                     26,                 1.2912,                 1.2002,                 1.2398,                 0.8061,                0.66838,                0.74191,                 0.4348,                 1.4726,                 1.2309,                 1.3632,                0.00175,                0.00175,                0.00175
                     27,                 1.2812,                 1.1654,                 1.2414,                0.76443,                0.65939,                 0.7289,                0.43513,                 1.4422,                 1.2716,                 1.3417,                0.00142,                0.00142,                0.00142
                     28,                 1.2365,                 1.0902,                 1.2111,                 0.8062,                0.67969,                 0.7604,                 0.4583,                 1.4183,                 1.2101,                 1.3405,                0.00109,                0.00109,                0.00109
                     29,                 1.2028,                 1.0333,                 1.1874,                0.83024,                 0.6847,                0.77579,                0.46283,                 1.4205,                 1.1688,                 1.3343,                0.00076,                0.00076,                0.00076
                     30,                 1.1461,                 1.0168,                 1.1479,                0.81011,                0.69582,                0.77615,                0.47005,                 1.3878,                 1.1473,                 1.3184,                0.00043,                0.00043,                0.00043
